Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 16 [2560/5000 (50%)]	Loss: 0.681138
Task: 0 Train Epoch: 16 [3840/5000 (75%)]	Loss: 0.696985
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 744/1000(74%)

Task: 0 Train Epoch: 17 [0/5000 (0%)]	Loss: 0.653709
Task: 0 Train Epoch: 17 [1280/5000 (25%)]	Loss: 0.669668
Task: 0 Train Epoch: 17 [2560/5000 (50%)]	Loss: 0.564056
Task: 0 Train Epoch: 17 [3840/5000 (75%)]	Loss: 0.596681
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 738/1000(74%)

Task: 0 Train Epoch: 18 [0/5000 (0%)]	Loss: 0.692383
Task: 0 Train Epoch: 18 [1280/5000 (25%)]	Loss: 0.513054
Task: 0 Train Epoch: 18 [2560/5000 (50%)]	Loss: 0.551258
Task: 0 Train Epoch: 18 [3840/5000 (75%)]	Loss: 0.732896
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 743/1000(74%)

Task: 0 Train Epoch: 19 [0/5000 (0%)]	Loss: 0.537097
Task: 0 Train Epoch: 19 [1280/5000 (25%)]	Loss: 0.668731
Task: 0 Train Epoch: 19 [2560/5000 (50%)]	Loss: 0.573229
Task: 0 Train Epoch: 19 [3840/5000 (75%)]	Loss: 0.568380
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 20 [0/5000 (0%)]	Loss: 0.348215
Task: 0 Train Epoch: 20 [1280/5000 (25%)]	Loss: 0.449909
Task: 0 Train Epoch: 20 [2560/5000 (50%)]	Loss: 0.503720
Task: 0 Train Epoch: 20 [3840/5000 (75%)]	Loss: 0.387811
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 736/1000(74%)

Task: 0 Train Epoch: 21 [0/5000 (0%)]	Loss: 0.442211
Task: 0 Train Epoch: 21 [1280/5000 (25%)]	Loss: 0.711408
Task: 0 Train Epoch: 21 [2560/5000 (50%)]	Loss: 0.618461
Task: 0 Train Epoch: 21 [3840/5000 (75%)]	Loss: 0.496518
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 762/1000(76%)

Task: 0 Train Epoch: 22 [0/5000 (0%)]	Loss: 0.306439
Task: 0 Train Epoch: 22 [1280/5000 (25%)]	Loss: 0.364774
Task: 0 Train Epoch: 22 [2560/5000 (50%)]	Loss: 0.455457
Task: 0 Train Epoch: 22 [3840/5000 (75%)]	Loss: 0.438982
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 749/1000(75%)

Task: 0 Train Epoch: 23 [0/5000 (0%)]	Loss: 0.420080
Task: 0 Train Epoch: 23 [1280/5000 (25%)]	Loss: 0.508745
Task: 0 Train Epoch: 23 [2560/5000 (50%)]	Loss: 0.460616
Task: 0 Train Epoch: 23 [3840/5000 (75%)]	Loss: 0.485193
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 763/1000(76%)

Task: 0 Train Epoch: 24 [0/5000 (0%)]	Loss: 0.485486
Task: 0 Train Epoch: 24 [1280/5000 (25%)]	Loss: 0.385704
Task: 0 Train Epoch: 24 [2560/5000 (50%)]	Loss: 0.374202
Task: 0 Train Epoch: 24 [3840/5000 (75%)]	Loss: 0.362641
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 780/1000(78%)

Task: 0 Train Epoch: 25 [0/5000 (0%)]	Loss: 0.317392
Task: 0 Train Epoch: 25 [1280/5000 (25%)]	Loss: 0.597254
Task: 0 Train Epoch: 25 [2560/5000 (50%)]	Loss: 0.445965
Task: 0 Train Epoch: 25 [3840/5000 (75%)]	Loss: 0.372710
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 741/1000(74%)

Task: 0 Train Epoch: 26 [0/5000 (0%)]	Loss: 0.443233
Task: 0 Train Epoch: 26 [1280/5000 (25%)]	Loss: 0.377750
Task: 0 Train Epoch: 26 [2560/5000 (50%)]	Loss: 0.271053
Task: 0 Train Epoch: 26 [3840/5000 (75%)]	Loss: 0.391941
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 27 [0/5000 (0%)]	Loss: 0.319245
Task: 0 Train Epoch: 27 [1280/5000 (25%)]	Loss: 0.277368
Task: 0 Train Epoch: 27 [2560/5000 (50%)]	Loss: 0.348077
Task: 0 Train Epoch: 27 [3840/5000 (75%)]	Loss: 0.420260
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 781/1000(78%)

Task: 0 Train Epoch: 28 [0/5000 (0%)]	Loss: 0.327258
Task: 0 Train Epoch: 28 [1280/5000 (25%)]	Loss: 0.433042
Task: 0 Train Epoch: 28 [2560/5000 (50%)]	Loss: 0.307378
Task: 0 Train Epoch: 28 [3840/5000 (75%)]	Loss: 0.353916
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 779/1000(78%)

Task: 0 Train Epoch: 29 [0/5000 (0%)]	Loss: 0.297327
Task: 0 Train Epoch: 29 [1280/5000 (25%)]	Loss: 0.183226
Task: 0 Train Epoch: 29 [2560/5000 (50%)]	Loss: 0.470947
Task: 0 Train Epoch: 29 [3840/5000 (75%)]	Loss: 0.327698
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 759/1000(76%)

Task: 0 Train Epoch: 30 [0/5000 (0%)]	Loss: 0.374180
Task: 0 Train Epoch: 30 [1280/5000 (25%)]	Loss: 0.305276
Task: 0 Train Epoch: 30 [2560/5000 (50%)]	Loss: 0.349151
Task: 0 Train Epoch: 30 [3840/5000 (75%)]	Loss: 0.318718
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 774/1000(77%)

Task: 0 Train Epoch: 31 [0/5000 (0%)]	Loss: 0.351592
Task: 0 Train Epoch: 31 [1280/5000 (25%)]	Loss: 0.380148
Task: 0 Train Epoch: 31 [2560/5000 (50%)]	Loss: 0.333138
Task: 0 Train Epoch: 31 [3840/5000 (75%)]	Loss: 0.220347
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 773/1000(77%)

Task: 0 Train Epoch: 32 [0/5000 (0%)]	Loss: 0.185036
Task: 0 Train Epoch: 32 [1280/5000 (25%)]	Loss: 0.304928
Task: 0 Train Epoch: 32 [2560/5000 (50%)]	Loss: 0.354956
Task: 0 Train Epoch: 32 [3840/5000 (75%)]	Loss: 0.249959
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 33 [0/5000 (0%)]	Loss: 0.383934
Task: 0 Train Epoch: 33 [1280/5000 (25%)]	Loss: 0.275389
Task: 0 Train Epoch: 33 [2560/5000 (50%)]	Loss: 0.286539
Task: 0 Train Epoch: 33 [3840/5000 (75%)]	Loss: 0.258242
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 765/1000(76%)

Task: 0 Train Epoch: 34 [0/5000 (0%)]	Loss: 0.270900
Task: 0 Train Epoch: 34 [1280/5000 (25%)]	Loss: 0.315338
Task: 0 Train Epoch: 34 [2560/5000 (50%)]	Loss: 0.344151
Task: 0 Train Epoch: 34 [3840/5000 (75%)]	Loss: 0.219862
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 765/1000(76%)

Task: 0 Train Epoch: 35 [0/5000 (0%)]	Loss: 0.215811
Task: 0 Train Epoch: 35 [1280/5000 (25%)]	Loss: 0.253176
Task: 0 Train Epoch: 35 [2560/5000 (50%)]	Loss: 0.212768
Task: 0 Train Epoch: 35 [3840/5000 (75%)]	Loss: 0.373987
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 36 [0/5000 (0%)]	Loss: 0.196840
Task: 0 Train Epoch: 36 [1280/5000 (25%)]	Loss: 0.183330
Task: 0 Train Epoch: 36 [2560/5000 (50%)]	Loss: 0.231245
Task: 0 Train Epoch: 36 [3840/5000 (75%)]	Loss: 0.198303
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 779/1000(78%)

Task: 0 Train Epoch: 37 [0/5000 (0%)]	Loss: 0.245110
Task: 0 Train Epoch: 37 [1280/5000 (25%)]	Loss: 0.333473
Task: 0 Train Epoch: 37 [2560/5000 (50%)]	Loss: 0.290406
Task: 0 Train Epoch: 37 [3840/5000 (75%)]	Loss: 0.275385
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 796/1000(80%)

Task: 0 Train Epoch: 38 [0/5000 (0%)]	Loss: 0.189677
Task: 0 Train Epoch: 38 [1280/5000 (25%)]	Loss: 0.318203
Task: 0 Train Epoch: 38 [2560/5000 (50%)]	Loss: 0.284987
Task: 0 Train Epoch: 38 [3840/5000 (75%)]	Loss: 0.273760
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 790/1000(79%)

Task: 0 Train Epoch: 39 [0/5000 (0%)]	Loss: 0.212087
Task: 0 Train Epoch: 39 [1280/5000 (25%)]	Loss: 0.300520
Task: 0 Train Epoch: 39 [2560/5000 (50%)]	Loss: 0.343073
Task: 0 Train Epoch: 39 [3840/5000 (75%)]	Loss: 0.259999
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 801/1000(80%)

Task: 0 Train Epoch: 40 [0/5000 (0%)]	Loss: 0.135619
Task: 0 Train Epoch: 40 [1280/5000 (25%)]	Loss: 0.199186
Task: 0 Train Epoch: 40 [2560/5000 (50%)]	Loss: 0.127212
Task: 0 Train Epoch: 40 [3840/5000 (75%)]	Loss: 0.239906
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 794/1000(79%)

Task: 0 Train Epoch: 41 [0/5000 (0%)]	Loss: 0.190187
Task: 0 Train Epoch: 41 [1280/5000 (25%)]	Loss: 0.118103
Task: 0 Train Epoch: 41 [2560/5000 (50%)]	Loss: 0.332786
Task: 0 Train Epoch: 41 [3840/5000 (75%)]	Loss: 0.236635
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 775/1000(78%)

Task: 0 Train Epoch: 42 [0/5000 (0%)]	Loss: 0.268126
Task: 0 Train Epoch: 42 [1280/5000 (25%)]	Loss: 0.136213
Task: 0 Train Epoch: 42 [2560/5000 (50%)]	Loss: 0.200696
Task: 0 Train Epoch: 42 [3840/5000 (75%)]	Loss: 0.227303
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 800/1000(80%)

Task: 0 Train Epoch: 43 [0/5000 (0%)]	Loss: 0.112698
Task: 0 Train Epoch: 43 [1280/5000 (25%)]	Loss: 0.129377
Task: 0 Train Epoch: 43 [2560/5000 (50%)]	Loss: 0.272298
Task: 0 Train Epoch: 43 [3840/5000 (75%)]	Loss: 0.204001
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 791/1000(79%)

Task: 0 Train Epoch: 44 [0/5000 (0%)]	Loss: 0.109024
Task: 0 Train Epoch: 44 [1280/5000 (25%)]	Loss: 0.141510
Task: 0 Train Epoch: 44 [2560/5000 (50%)]	Loss: 0.149191
Task: 0 Train Epoch: 44 [3840/5000 (75%)]	Loss: 0.263321
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 777/1000(78%)

Task: 0 Train Epoch: 45 [0/5000 (0%)]	Loss: 0.286352
Task: 0 Train Epoch: 45 [1280/5000 (25%)]	Loss: 0.249388
Task: 0 Train Epoch: 45 [2560/5000 (50%)]	Loss: 0.233996
Task: 0 Train Epoch: 45 [3840/5000 (75%)]	Loss: 0.267572
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 791/1000(79%)

Task: 0 Train Epoch: 46 [0/5000 (0%)]	Loss: 0.191998
Task: 0 Train Epoch: 46 [1280/5000 (25%)]	Loss: 0.213057
Task: 0 Train Epoch: 46 [2560/5000 (50%)]	Loss: 0.078683
Task: 0 Train Epoch: 46 [3840/5000 (75%)]	Loss: 0.212592
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 788/1000(79%)

Task: 0 Train Epoch: 47 [0/5000 (0%)]	Loss: 0.072449
Task: 0 Train Epoch: 47 [1280/5000 (25%)]	Loss: 0.183886
Task: 0 Train Epoch: 47 [2560/5000 (50%)]	Loss: 0.195008
Task: 0 Train Epoch: 47 [3840/5000 (75%)]	Loss: 0.119837
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 777/1000(78%)

Task: 0 Train Epoch: 48 [0/5000 (0%)]	Loss: 0.184952
Task: 0 Train Epoch: 48 [1280/5000 (25%)]	Loss: 0.152414
Task: 0 Train Epoch: 48 [2560/5000 (50%)]	Loss: 0.217945
Task: 0 Train Epoch: 48 [3840/5000 (75%)]	Loss: 0.106099
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 814/1000(81%)

Task: 0 Train Epoch: 49 [0/5000 (0%)]	Loss: 0.088146
Task: 0 Train Epoch: 49 [1280/5000 (25%)]	Loss: 0.149161
Task: 0 Train Epoch: 49 [2560/5000 (50%)]	Loss: 0.151149
Task: 0 Train Epoch: 49 [3840/5000 (75%)]	Loss: 0.182810
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 790/1000(79%)

Task: 0 Train Epoch: 50 [0/5000 (0%)]	Loss: 0.172818
Task: 0 Train Epoch: 50 [1280/5000 (25%)]	Loss: 0.121552
Task: 0 Train Epoch: 50 [2560/5000 (50%)]	Loss: 0.179686
Task: 0 Train Epoch: 50 [3840/5000 (75%)]	Loss: 0.134309
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 794/1000(79%)

Task: 0 Train Epoch: 51 [0/5000 (0%)]	Loss: 0.140574
Task: 0 Train Epoch: 51 [1280/5000 (25%)]	Loss: 0.210519
Task: 0 Train Epoch: 51 [2560/5000 (50%)]	Loss: 0.126491
Task: 0 Train Epoch: 51 [3840/5000 (75%)]	Loss: 0.076156
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 808/1000(81%)

Task: 0 Train Epoch: 52 [0/5000 (0%)]	Loss: 0.100967
Task: 0 Train Epoch: 52 [1280/5000 (25%)]	Loss: 0.084021
Task: 0 Train Epoch: 52 [2560/5000 (50%)]	Loss: 0.085562
Task: 0 Train Epoch: 52 [3840/5000 (75%)]	Loss: 0.062678
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 795/1000(80%)

Task: 0 Train Epoch: 53 [0/5000 (0%)]	Loss: 0.063706
Task: 0 Train Epoch: 53 [1280/5000 (25%)]	Loss: 0.178517
Task: 0 Train Epoch: 53 [2560/5000 (50%)]	Loss: 0.224309
Task: 0 Train Epoch: 53 [3840/5000 (75%)]	Loss: 0.117529
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 795/1000(80%)

Task: 0 Train Epoch: 54 [0/5000 (0%)]	Loss: 0.118394
Task: 0 Train Epoch: 54 [1280/5000 (25%)]	Loss: 0.100798
Task: 0 Train Epoch: 54 [2560/5000 (50%)]	Loss: 0.081297
Task: 0 Train Epoch: 54 [3840/5000 (75%)]	Loss: 0.182219
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 783/1000(78%)

Task: 0 Train Epoch: 55 [0/5000 (0%)]	Loss: 0.214744
Task: 0 Train Epoch: 55 [1280/5000 (25%)]	Loss: 0.137353
Task: 0 Train Epoch: 55 [2560/5000 (50%)]	Loss: 0.087139
Task: 0 Train Epoch: 55 [3840/5000 (75%)]	Loss: 0.194793
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 816/1000(82%)

Task: 0 Train Epoch: 56 [0/5000 (0%)]	Loss: 0.120288
Task: 0 Train Epoch: 56 [1280/5000 (25%)]	Loss: 0.165748
Task: 0 Train Epoch: 56 [2560/5000 (50%)]	Loss: 0.087174
Task: 0 Train Epoch: 56 [3840/5000 (75%)]	Loss: 0.140422
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 807/1000(81%)

Task: 0 Train Epoch: 57 [0/5000 (0%)]	Loss: 0.117783
Task: 0 Train Epoch: 57 [1280/5000 (25%)]	Loss: 0.207082
Task: 0 Train Epoch: 57 [2560/5000 (50%)]	Loss: 0.110870
Task: 0 Train Epoch: 57 [3840/5000 (75%)]	Loss: 0.079178
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 795/1000(80%)

Task: 0 Train Epoch: 58 [0/5000 (0%)]	Loss: 0.089117
Task: 0 Train Epoch: 58 [1280/5000 (25%)]	Loss: 0.140540
Task: 0 Train Epoch: 58 [2560/5000 (50%)]	Loss: 0.062213
Task: 0 Train Epoch: 58 [3840/5000 (75%)]	Loss: 0.142816
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 790/1000(79%)

Task: 0 Train Epoch: 59 [0/5000 (0%)]	Loss: 0.129848
Task: 0 Train Epoch: 59 [1280/5000 (25%)]	Loss: 0.064437
Task: 0 Train Epoch: 59 [2560/5000 (50%)]	Loss: 0.101550
Task: 0 Train Epoch: 59 [3840/5000 (75%)]	Loss: 0.116266
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 804/1000(80%)

Task: 0 Train Epoch: 60 [0/5000 (0%)]	Loss: 0.070869
Task: 0 Train Epoch: 60 [1280/5000 (25%)]	Loss: 0.044444
Task: 0 Train Epoch: 60 [2560/5000 (50%)]	Loss: 0.023893
Task: 0 Train Epoch: 60 [3840/5000 (75%)]	Loss: 0.041504
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 819/1000(82%)

Task: 0 Train Epoch: 61 [0/5000 (0%)]	Loss: 0.100251
Task: 0 Train Epoch: 61 [1280/5000 (25%)]	Loss: 0.033137
Task: 0 Train Epoch: 61 [2560/5000 (50%)]	Loss: 0.021291
Task: 0 Train Epoch: 61 [3840/5000 (75%)]	Loss: 0.042524
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 819/1000(82%)

Task: 0 Train Epoch: 62 [0/5000 (0%)]	Loss: 0.036433
Task: 0 Train Epoch: 62 [1280/5000 (25%)]	Loss: 0.024258
Task: 0 Train Epoch: 62 [2560/5000 (50%)]	Loss: 0.020043
Task: 0 Train Epoch: 62 [3840/5000 (75%)]	Loss: 0.026243
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 823/1000(82%)

Task: 0 Train Epoch: 63 [0/5000 (0%)]	Loss: 0.022389
Task: 0 Train Epoch: 63 [1280/5000 (25%)]	Loss: 0.035972
Task: 0 Train Epoch: 63 [2560/5000 (50%)]	Loss: 0.031796
Task: 0 Train Epoch: 63 [3840/5000 (75%)]	Loss: 0.047108
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 821/1000(82%)

Task: 0 Train Epoch: 64 [0/5000 (0%)]	Loss: 0.076724
Task: 0 Train Epoch: 64 [1280/5000 (25%)]	Loss: 0.016746
Task: 0 Train Epoch: 64 [2560/5000 (50%)]	Loss: 0.009357
Task: 0 Train Epoch: 64 [3840/5000 (75%)]	Loss: 0.083275
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 823/1000(82%)

Task: 0 Train Epoch: 65 [0/5000 (0%)]	Loss: 0.027360
Task: 0 Train Epoch: 65 [1280/5000 (25%)]	Loss: 0.020029
Task: 0 Train Epoch: 65 [2560/5000 (50%)]	Loss: 0.011883
Task: 0 Train Epoch: 65 [3840/5000 (75%)]	Loss: 0.051382
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 829/1000(83%)

Task: 0 Train Epoch: 66 [0/5000 (0%)]	Loss: 0.039389
Task: 0 Train Epoch: 66 [1280/5000 (25%)]	Loss: 0.139197
Task: 0 Train Epoch: 66 [2560/5000 (50%)]	Loss: 0.018236
Task: 0 Train Epoch: 66 [3840/5000 (75%)]	Loss: 0.018133
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 824/1000(82%)

Task: 0 Train Epoch: 67 [0/5000 (0%)]	Loss: 0.029231
Task: 0 Train Epoch: 67 [1280/5000 (25%)]	Loss: 0.011104
Task: 0 Train Epoch: 67 [2560/5000 (50%)]	Loss: 0.031098
Task: 0 Train Epoch: 67 [3840/5000 (75%)]	Loss: 0.025595
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 824/1000(82%)

Task: 0 Train Epoch: 68 [0/5000 (0%)]	Loss: 0.012131
Task: 0 Train Epoch: 68 [1280/5000 (25%)]	Loss: 0.024397
Task: 0 Train Epoch: 68 [2560/5000 (50%)]	Loss: 0.041123
Task: 0 Train Epoch: 68 [3840/5000 (75%)]	Loss: 0.014780
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 826/1000(83%)

Task: 0 Train Epoch: 69 [0/5000 (0%)]	Loss: 0.051294
Task: 0 Train Epoch: 69 [1280/5000 (25%)]	Loss: 0.037798
Task: 0 Train Epoch: 69 [2560/5000 (50%)]	Loss: 0.010741
Task: 0 Train Epoch: 69 [3840/5000 (75%)]	Loss: 0.017458
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 823/1000(82%)

Task: 0 Train Epoch: 70 [0/5000 (0%)]	Loss: 0.058628
Task: 0 Train Epoch: 70 [1280/5000 (25%)]	Loss: 0.031340
Task: 0 Train Epoch: 70 [2560/5000 (50%)]	Loss: 0.019439
Task: 0 Train Epoch: 70 [3840/5000 (75%)]	Loss: 0.013967
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 827/1000(83%)

Task: 0 Train Epoch: 71 [0/5000 (0%)]	Loss: 0.020897
Task: 0 Train Epoch: 71 [1280/5000 (25%)]	Loss: 0.014284
