Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.038301
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.218611
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.180012

Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 607/1000(61%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.232020
Task: 0 Train Epoch: 6 [1280/5000 (25%)]	Loss: 1.053344
Task: 0 Train Epoch: 6 [2560/5000 (50%)]	Loss: 0.995608
Task: 0 Train Epoch: 6 [3840/5000 (75%)]	Loss: 0.917208

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 655/1000(66%)

Task: 0 Train Epoch: 7 [0/5000 (0%)]	Loss: 1.008877
Task: 0 Train Epoch: 7 [1280/5000 (25%)]	Loss: 1.137508
Task: 0 Train Epoch: 7 [2560/5000 (50%)]	Loss: 1.091678
Task: 0 Train Epoch: 7 [3840/5000 (75%)]	Loss: 1.110125

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 670/1000(67%)

Task: 0 Train Epoch: 8 [0/5000 (0%)]	Loss: 0.970932
Task: 0 Train Epoch: 8 [1280/5000 (25%)]	Loss: 1.072569
Task: 0 Train Epoch: 8 [2560/5000 (50%)]	Loss: 1.229940
Task: 0 Train Epoch: 8 [3840/5000 (75%)]	Loss: 0.934464

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 684/1000(68%)

Task: 0 Train Epoch: 9 [0/5000 (0%)]	Loss: 0.964034
Task: 0 Train Epoch: 9 [1280/5000 (25%)]	Loss: 0.928352
Task: 0 Train Epoch: 9 [2560/5000 (50%)]	Loss: 0.915722
Task: 0 Train Epoch: 9 [3840/5000 (75%)]	Loss: 1.052009

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 695/1000(70%)

Task: 0 Train Epoch: 10 [0/5000 (0%)]	Loss: 1.005296
Task: 0 Train Epoch: 10 [1280/5000 (25%)]	Loss: 0.665497
Task: 0 Train Epoch: 10 [2560/5000 (50%)]	Loss: 1.042011
Task: 0 Train Epoch: 10 [3840/5000 (75%)]	Loss: 0.813864

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 668/1000(67%)

Task: 0 Train Epoch: 11 [0/5000 (0%)]	Loss: 0.932413
Task: 0 Train Epoch: 11 [1280/5000 (25%)]	Loss: 1.267585
Task: 0 Train Epoch: 11 [2560/5000 (50%)]	Loss: 0.855167
Task: 0 Train Epoch: 11 [3840/5000 (75%)]	Loss: 0.795817

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 706/1000(71%)

Task: 0 Train Epoch: 12 [0/5000 (0%)]	Loss: 0.771972
Task: 0 Train Epoch: 12 [1280/5000 (25%)]	Loss: 0.820024
Task: 0 Train Epoch: 12 [2560/5000 (50%)]	Loss: 0.770645
Task: 0 Train Epoch: 12 [3840/5000 (75%)]	Loss: 0.799030

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 713/1000(71%)

Task: 0 Train Epoch: 13 [0/5000 (0%)]	Loss: 0.644111
Task: 0 Train Epoch: 13 [1280/5000 (25%)]	Loss: 0.817531
Task: 0 Train Epoch: 13 [2560/5000 (50%)]	Loss: 0.996009
Task: 0 Train Epoch: 13 [3840/5000 (75%)]	Loss: 0.870846

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 735/1000(74%)

Task: 0 Train Epoch: 14 [0/5000 (0%)]	Loss: 0.778892
Task: 0 Train Epoch: 14 [1280/5000 (25%)]	Loss: 0.826934
Task: 0 Train Epoch: 14 [2560/5000 (50%)]	Loss: 0.734681
Task: 0 Train Epoch: 14 [3840/5000 (75%)]	Loss: 0.824880

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 728/1000(73%)

Task: 0 Train Epoch: 15 [0/5000 (0%)]	Loss: 0.749227
Task: 0 Train Epoch: 15 [1280/5000 (25%)]	Loss: 0.702115
Task: 0 Train Epoch: 15 [2560/5000 (50%)]	Loss: 0.821677
Task: 0 Train Epoch: 15 [3840/5000 (75%)]	Loss: 0.629528

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 737/1000(74%)

Task: 0 Train Epoch: 16 [0/5000 (0%)]	Loss: 0.576054
Task: 0 Train Epoch: 16 [1280/5000 (25%)]	Loss: 0.498404
Task: 0 Train Epoch: 16 [2560/5000 (50%)]	Loss: 0.591568
Task: 0 Train Epoch: 16 [3840/5000 (75%)]	Loss: 0.741333

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 740/1000(74%)

Task: 0 Train Epoch: 17 [0/5000 (0%)]	Loss: 0.679227
Task: 0 Train Epoch: 17 [1280/5000 (25%)]	Loss: 0.669119
Task: 0 Train Epoch: 17 [2560/5000 (50%)]	Loss: 0.464130
Task: 0 Train Epoch: 17 [3840/5000 (75%)]	Loss: 0.539563

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 754/1000(75%)

Task: 0 Train Epoch: 18 [0/5000 (0%)]	Loss: 0.638078
Task: 0 Train Epoch: 18 [1280/5000 (25%)]	Loss: 0.573519
Task: 0 Train Epoch: 18 [2560/5000 (50%)]	Loss: 0.638557
Task: 0 Train Epoch: 18 [3840/5000 (75%)]	Loss: 0.654606

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 725/1000(72%)

Task: 0 Train Epoch: 19 [0/5000 (0%)]	Loss: 0.520720
Task: 0 Train Epoch: 19 [1280/5000 (25%)]	Loss: 0.681913
Task: 0 Train Epoch: 19 [2560/5000 (50%)]	Loss: 0.593731
Task: 0 Train Epoch: 19 [3840/5000 (75%)]	Loss: 0.472083

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 706/1000(71%)

Task: 0 Train Epoch: 20 [0/5000 (0%)]	Loss: 0.550781
Task: 0 Train Epoch: 20 [1280/5000 (25%)]	Loss: 0.590445
Task: 0 Train Epoch: 20 [2560/5000 (50%)]	Loss: 0.466842
Task: 0 Train Epoch: 20 [3840/5000 (75%)]	Loss: 0.519135

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 21 [0/5000 (0%)]	Loss: 0.498744
Task: 0 Train Epoch: 21 [1280/5000 (25%)]	Loss: 0.381389
Task: 0 Train Epoch: 21 [2560/5000 (50%)]	Loss: 0.302602
Task: 0 Train Epoch: 21 [3840/5000 (75%)]	Loss: 0.521613

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 769/1000(77%)

Task: 0 Train Epoch: 22 [0/5000 (0%)]	Loss: 0.494884
Task: 0 Train Epoch: 22 [1280/5000 (25%)]	Loss: 0.572126
Task: 0 Train Epoch: 22 [2560/5000 (50%)]	Loss: 0.660398
Task: 0 Train Epoch: 22 [3840/5000 (75%)]	Loss: 0.562823

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 752/1000(75%)

Task: 0 Train Epoch: 23 [0/5000 (0%)]	Loss: 0.474683
Task: 0 Train Epoch: 23 [1280/5000 (25%)]	Loss: 0.423462
Task: 0 Train Epoch: 23 [2560/5000 (50%)]	Loss: 0.473375
Task: 0 Train Epoch: 23 [3840/5000 (75%)]	Loss: 0.486328

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 777/1000(78%)

Task: 0 Train Epoch: 24 [0/5000 (0%)]	Loss: 0.418338
Task: 0 Train Epoch: 24 [1280/5000 (25%)]	Loss: 0.412269
Task: 0 Train Epoch: 24 [2560/5000 (50%)]	Loss: 0.475014
Task: 0 Train Epoch: 24 [3840/5000 (75%)]	Loss: 0.439167

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 767/1000(77%)

Task: 0 Train Epoch: 25 [0/5000 (0%)]	Loss: 0.402008
Task: 0 Train Epoch: 25 [1280/5000 (25%)]	Loss: 0.390297
Task: 0 Train Epoch: 25 [2560/5000 (50%)]	Loss: 0.454301
Task: 0 Train Epoch: 25 [3840/5000 (75%)]	Loss: 0.474499

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 747/1000(75%)

Task: 0 Train Epoch: 26 [0/5000 (0%)]	Loss: 0.413576
Task: 0 Train Epoch: 26 [1280/5000 (25%)]	Loss: 0.536020
Task: 0 Train Epoch: 26 [2560/5000 (50%)]	Loss: 0.426525
Task: 0 Train Epoch: 26 [3840/5000 (75%)]	Loss: 0.493336

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 770/1000(77%)

Task: 0 Train Epoch: 27 [0/5000 (0%)]	Loss: 0.403638
Task: 0 Train Epoch: 27 [1280/5000 (25%)]	Loss: 0.435065
Task: 0 Train Epoch: 27 [2560/5000 (50%)]	Loss: 0.429903
Task: 0 Train Epoch: 27 [3840/5000 (75%)]	Loss: 0.400078

Task: 0   Test set: Avg. loss: 0.0006, Accuracy: 791/1000(79%)

Task: 0 Train Epoch: 28 [0/5000 (0%)]	Loss: 0.292478
Task: 0 Train Epoch: 28 [1280/5000 (25%)]	Loss: 0.306339
Task: 0 Train Epoch: 28 [2560/5000 (50%)]	Loss: 0.363185
Task: 0 Train Epoch: 28 [3840/5000 (75%)]	Loss: 0.466198

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 768/1000(77%)

Task: 0 Train Epoch: 29 [0/5000 (0%)]	Loss: 0.354813
Task: 0 Train Epoch: 29 [1280/5000 (25%)]	Loss: 0.334289
Task: 0 Train Epoch: 29 [2560/5000 (50%)]	Loss: 0.315509
Task: 0 Train Epoch: 29 [3840/5000 (75%)]	Loss: 0.306841

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 777/1000(78%)

Task: 0 Train Epoch: 30 [0/5000 (0%)]	Loss: 0.292377
Task: 0 Train Epoch: 30 [1280/5000 (25%)]	Loss: 0.395182
Task: 0 Train Epoch: 30 [2560/5000 (50%)]	Loss: 0.414268
Task: 0 Train Epoch: 30 [3840/5000 (75%)]	Loss: 0.393248

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 796/1000(80%)

Task: 0 Train Epoch: 31 [0/5000 (0%)]	Loss: 0.334573
Task: 0 Train Epoch: 31 [1280/5000 (25%)]	Loss: 0.342571
Task: 0 Train Epoch: 31 [2560/5000 (50%)]	Loss: 0.460012
Task: 0 Train Epoch: 31 [3840/5000 (75%)]	Loss: 0.458389

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 760/1000(76%)

Task: 0 Train Epoch: 32 [0/5000 (0%)]	Loss: 0.362260
Task: 0 Train Epoch: 32 [1280/5000 (25%)]	Loss: 0.339374
Task: 0 Train Epoch: 32 [2560/5000 (50%)]	Loss: 0.327345
Task: 0 Train Epoch: 32 [3840/5000 (75%)]	Loss: 0.349603

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 779/1000(78%)

Task: 0 Train Epoch: 33 [0/5000 (0%)]	Loss: 0.199005
Task: 0 Train Epoch: 33 [1280/5000 (25%)]	Loss: 0.406698
Task: 0 Train Epoch: 33 [2560/5000 (50%)]	Loss: 0.421233
Task: 0 Train Epoch: 33 [3840/5000 (75%)]	Loss: 0.271087

Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 793/1000(79%)

Task: 0 Train Epoch: 34 [0/5000 (0%)]	Loss: 0.212013
Task: 0 Train Epoch: 34 [1280/5000 (25%)]	Loss: 0.313167
Task: 0 Train Epoch: 34 [2560/5000 (50%)]	Loss: 0.333799
Task: 0 Train Epoch: 34 [3840/5000 (75%)]	Loss: 0.280475

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 769/1000(77%)

Task: 0 Train Epoch: 35 [0/5000 (0%)]	Loss: 0.190905
Task: 0 Train Epoch: 35 [1280/5000 (25%)]	Loss: 0.572341
Task: 0 Train Epoch: 35 [2560/5000 (50%)]	Loss: 0.358529
Task: 0 Train Epoch: 35 [3840/5000 (75%)]	Loss: 0.325968

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 768/1000(77%)

Task: 0 Train Epoch: 36 [0/5000 (0%)]	Loss: 0.279418
Task: 0 Train Epoch: 36 [1280/5000 (25%)]	Loss: 0.294106
Task: 0 Train Epoch: 36 [2560/5000 (50%)]	Loss: 0.346616
Task: 0 Train Epoch: 36 [3840/5000 (75%)]	Loss: 0.258782

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 778/1000(78%)

Task: 0 Train Epoch: 37 [0/5000 (0%)]	Loss: 0.279003
Task: 0 Train Epoch: 37 [1280/5000 (25%)]	Loss: 0.292091
Task: 0 Train Epoch: 37 [2560/5000 (50%)]	Loss: 0.312052
Task: 0 Train Epoch: 37 [3840/5000 (75%)]	Loss: 0.361004

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 760/1000(76%)

Task: 0 Train Epoch: 38 [0/5000 (0%)]	Loss: 0.218718
Task: 0 Train Epoch: 38 [1280/5000 (25%)]	Loss: 0.291891
Task: 0 Train Epoch: 38 [2560/5000 (50%)]	Loss: 0.238197
Task: 0 Train Epoch: 38 [3840/5000 (75%)]	Loss: 0.190051

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 748/1000(75%)

Task: 0 Train Epoch: 39 [0/5000 (0%)]	Loss: 0.343487
Task: 0 Train Epoch: 39 [1280/5000 (25%)]	Loss: 0.265259
Task: 0 Train Epoch: 39 [2560/5000 (50%)]	Loss: 0.273065
Task: 0 Train Epoch: 39 [3840/5000 (75%)]	Loss: 0.284606

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 772/1000(77%)

Task: 0 Train Epoch: 40 [0/5000 (0%)]	Loss: 0.210146
Task: 0 Train Epoch: 40 [1280/5000 (25%)]	Loss: 0.322170
Task: 0 Train Epoch: 40 [2560/5000 (50%)]	Loss: 0.235813
Task: 0 Train Epoch: 40 [3840/5000 (75%)]	Loss: 0.379395

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 789/1000(79%)

Task: 0 Train Epoch: 41 [0/5000 (0%)]	Loss: 0.197714
Task: 0 Train Epoch: 41 [1280/5000 (25%)]	Loss: 0.312980
Task: 0 Train Epoch: 41 [2560/5000 (50%)]	Loss: 0.165706
Task: 0 Train Epoch: 41 [3840/5000 (75%)]	Loss: 0.221216

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 788/1000(79%)

Task: 0 Train Epoch: 42 [0/5000 (0%)]	Loss: 0.202048
Task: 0 Train Epoch: 42 [1280/5000 (25%)]	Loss: 0.170334
Task: 0 Train Epoch: 42 [2560/5000 (50%)]	Loss: 0.197462
Task: 0 Train Epoch: 42 [3840/5000 (75%)]	Loss: 0.125999

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 768/1000(77%)

Task: 0 Train Epoch: 43 [0/5000 (0%)]	Loss: 0.204471
Task: 0 Train Epoch: 43 [1280/5000 (25%)]	Loss: 0.269971
Task: 0 Train Epoch: 43 [2560/5000 (50%)]	Loss: 0.277464
Task: 0 Train Epoch: 43 [3840/5000 (75%)]	Loss: 0.213314

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 798/1000(80%)

Task: 0 Train Epoch: 44 [0/5000 (0%)]	Loss: 0.112825
Task: 0 Train Epoch: 44 [1280/5000 (25%)]	Loss: 0.137624
Task: 0 Train Epoch: 44 [2560/5000 (50%)]	Loss: 0.219390
Task: 0 Train Epoch: 44 [3840/5000 (75%)]	Loss: 0.132323

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 814/1000(81%)

Task: 0 Train Epoch: 45 [0/5000 (0%)]	Loss: 0.166435
Task: 0 Train Epoch: 45 [1280/5000 (25%)]	Loss: 0.150007
Task: 0 Train Epoch: 45 [2560/5000 (50%)]	Loss: 0.175528
Task: 0 Train Epoch: 45 [3840/5000 (75%)]	Loss: 0.179657

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 782/1000(78%)

Task: 0 Train Epoch: 46 [0/5000 (0%)]	Loss: 0.174353
Task: 0 Train Epoch: 46 [1280/5000 (25%)]	Loss: 0.160694
Task: 0 Train Epoch: 46 [2560/5000 (50%)]	Loss: 0.121327
Task: 0 Train Epoch: 46 [3840/5000 (75%)]	Loss: 0.227710

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 790/1000(79%)

Task: 0 Train Epoch: 47 [0/5000 (0%)]	Loss: 0.179923
Task: 0 Train Epoch: 47 [1280/5000 (25%)]	Loss: 0.105187
Task: 0 Train Epoch: 47 [2560/5000 (50%)]	Loss: 0.154956
Task: 0 Train Epoch: 47 [3840/5000 (75%)]	Loss: 0.149944

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 793/1000(79%)

Task: 0 Train Epoch: 48 [0/5000 (0%)]	Loss: 0.107466
Task: 0 Train Epoch: 48 [1280/5000 (25%)]	Loss: 0.237889
Task: 0 Train Epoch: 48 [2560/5000 (50%)]	Loss: 0.285404
Task: 0 Train Epoch: 48 [3840/5000 (75%)]	Loss: 0.180189

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 792/1000(79%)

Task: 0 Train Epoch: 49 [0/5000 (0%)]	Loss: 0.166517
Task: 0 Train Epoch: 49 [1280/5000 (25%)]	Loss: 0.281027
Task: 0 Train Epoch: 49 [2560/5000 (50%)]	Loss: 0.371097
Task: 0 Train Epoch: 49 [3840/5000 (75%)]	Loss: 0.141179

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 799/1000(80%)

Task: 0 Train Epoch: 50 [0/5000 (0%)]	Loss: 0.243010
Task: 0 Train Epoch: 50 [1280/5000 (25%)]	Loss: 0.097292
Task: 0 Train Epoch: 50 [2560/5000 (50%)]	Loss: 0.130320
Task: 0 Train Epoch: 50 [3840/5000 (75%)]	Loss: 0.211956

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 790/1000(79%)

Task: 0 Train Epoch: 51 [0/5000 (0%)]	Loss: 0.213939
Task: 0 Train Epoch: 51 [1280/5000 (25%)]	Loss: 0.308537
Task: 0 Train Epoch: 51 [2560/5000 (50%)]	Loss: 0.299614
Task: 0 Train Epoch: 51 [3840/5000 (75%)]	Loss: 0.209612

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 781/1000(78%)

Task: 0 Train Epoch: 52 [0/5000 (0%)]	Loss: 0.121599
Task: 0 Train Epoch: 52 [1280/5000 (25%)]	Loss: 0.135108
Task: 0 Train Epoch: 52 [2560/5000 (50%)]	Loss: 0.060447
Task: 0 Train Epoch: 52 [3840/5000 (75%)]	Loss: 0.091713

Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 802/1000(80%)

Task: 0 Train Epoch: 53 [0/5000 (0%)]	Loss: 0.120263
Task: 0 Train Epoch: 53 [1280/5000 (25%)]	Loss: 0.152300
Task: 0 Train Epoch: 53 [2560/5000 (50%)]	Loss: 0.139440
Task: 0 Train Epoch: 53 [3840/5000 (75%)]	Loss: 0.189956

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 804/1000(80%)

Task: 0 Train Epoch: 54 [0/5000 (0%)]	Loss: 0.120717
Task: 0 Train Epoch: 54 [1280/5000 (25%)]	Loss: 0.069200
Task: 0 Train Epoch: 54 [2560/5000 (50%)]	Loss: 0.144832
Task: 0 Train Epoch: 54 [3840/5000 (75%)]	Loss: 0.140414

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 804/1000(80%)

Task: 0 Train Epoch: 55 [0/5000 (0%)]	Loss: 0.157472
Task: 0 Train Epoch: 55 [1280/5000 (25%)]	Loss: 0.133607
Task: 0 Train Epoch: 55 [2560/5000 (50%)]	Loss: 0.090172
Task: 0 Train Epoch: 55 [3840/5000 (75%)]	Loss: 0.137419

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 796/1000(80%)

Task: 0 Train Epoch: 56 [0/5000 (0%)]	Loss: 0.114794
Task: 0 Train Epoch: 56 [1280/5000 (25%)]	Loss: 0.098616
Task: 0 Train Epoch: 56 [2560/5000 (50%)]	Loss: 0.118150
Task: 0 Train Epoch: 56 [3840/5000 (75%)]	Loss: 0.097239

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 809/1000(81%)

Task: 0 Train Epoch: 57 [0/5000 (0%)]	Loss: 0.122454
Task: 0 Train Epoch: 57 [1280/5000 (25%)]	Loss: 0.129009
Task: 0 Train Epoch: 57 [2560/5000 (50%)]	Loss: 0.142062
Task: 0 Train Epoch: 57 [3840/5000 (75%)]	Loss: 0.087583

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 805/1000(81%)

Task: 0 Train Epoch: 58 [0/5000 (0%)]	Loss: 0.082526
Task: 0 Train Epoch: 58 [1280/5000 (25%)]	Loss: 0.073349
Task: 0 Train Epoch: 58 [2560/5000 (50%)]	Loss: 0.095363
Task: 0 Train Epoch: 58 [3840/5000 (75%)]	Loss: 0.120194

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 791/1000(79%)

Task: 0 Train Epoch: 59 [0/5000 (0%)]	Loss: 0.110201
Task: 0 Train Epoch: 59 [1280/5000 (25%)]	Loss: 0.059924
Task: 0 Train Epoch: 59 [2560/5000 (50%)]	Loss: 0.123001
Task: 0 Train Epoch: 59 [3840/5000 (75%)]	Loss: 0.136554

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 791/1000(79%)

Task: 0 Train Epoch: 60 [0/5000 (0%)]	Loss: 0.132945
Task: 0 Train Epoch: 60 [1280/5000 (25%)]	Loss: 0.037453
Task: 0 Train Epoch: 60 [2560/5000 (50%)]	Loss: 0.077463
Task: 0 Train Epoch: 60 [3840/5000 (75%)]	Loss: 0.140494

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 814/1000(81%)

Task: 0 Train Epoch: 61 [0/5000 (0%)]	Loss: 0.061394
Task: 0 Train Epoch: 61 [1280/5000 (25%)]	Loss: 0.065239
Task: 0 Train Epoch: 61 [2560/5000 (50%)]	Loss: 0.103165
Task: 0 Train Epoch: 61 [3840/5000 (75%)]	Loss: 0.048823

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 811/1000(81%)

Task: 0 Train Epoch: 62 [0/5000 (0%)]	Loss: 0.046940
Task: 0 Train Epoch: 62 [1280/5000 (25%)]	Loss: 0.055866
Task: 0 Train Epoch: 62 [2560/5000 (50%)]	Loss: 0.036957
Task: 0 Train Epoch: 62 [3840/5000 (75%)]	Loss: 0.039956

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 811/1000(81%)

Task: 0 Train Epoch: 63 [0/5000 (0%)]	Loss: 0.023765
Task: 0 Train Epoch: 63 [1280/5000 (25%)]	Loss: 0.071029
Task: 0 Train Epoch: 63 [2560/5000 (50%)]	Loss: 0.066927
Task: 0 Train Epoch: 63 [3840/5000 (75%)]	Loss: 0.044683

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 809/1000(81%)

Task: 0 Train Epoch: 64 [0/5000 (0%)]	Loss: 0.053041
Task: 0 Train Epoch: 64 [1280/5000 (25%)]	Loss: 0.016212
Task: 0 Train Epoch: 64 [2560/5000 (50%)]	Loss: 0.040647
Task: 0 Train Epoch: 64 [3840/5000 (75%)]	Loss: 0.052753

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 809/1000(81%)

Task: 0 Train Epoch: 65 [0/5000 (0%)]	Loss: 0.045985
Task: 0 Train Epoch: 65 [1280/5000 (25%)]	Loss: 0.058093
Task: 0 Train Epoch: 65 [2560/5000 (50%)]	Loss: 0.084639
Task: 0 Train Epoch: 65 [3840/5000 (75%)]	Loss: 0.035550

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 808/1000(81%)

Task: 0 Train Epoch: 66 [0/5000 (0%)]	Loss: 0.041176
Task: 0 Train Epoch: 66 [1280/5000 (25%)]	Loss: 0.089508
Task: 0 Train Epoch: 66 [2560/5000 (50%)]	Loss: 0.026363
Task: 0 Train Epoch: 66 [3840/5000 (75%)]	Loss: 0.031508

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 808/1000(81%)

Task: 0 Train Epoch: 67 [0/5000 (0%)]	Loss: 0.049273
Task: 0 Train Epoch: 67 [1280/5000 (25%)]	Loss: 0.049256
Task: 0 Train Epoch: 67 [2560/5000 (50%)]	Loss: 0.056623
Task: 0 Train Epoch: 67 [3840/5000 (75%)]	Loss: 0.071146

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 809/1000(81%)

Task: 0 Train Epoch: 68 [0/5000 (0%)]	Loss: 0.033450
Task: 0 Train Epoch: 68 [1280/5000 (25%)]	Loss: 0.038801
Task: 0 Train Epoch: 68 [2560/5000 (50%)]	Loss: 0.034702
Task: 0 Train Epoch: 68 [3840/5000 (75%)]	Loss: 0.056763

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 811/1000(81%)

Task: 0 Train Epoch: 69 [0/5000 (0%)]	Loss: 0.029866
Task: 0 Train Epoch: 69 [1280/5000 (25%)]	Loss: 0.029404
Task: 0 Train Epoch: 69 [2560/5000 (50%)]	Loss: 0.053921
Task: 0 Train Epoch: 69 [3840/5000 (75%)]	Loss: 0.027488

Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 808/1000(81%)

Task: 0 Train Epoch: 70 [0/5000 (0%)]	Loss: 0.014431
Task: 0 Train Epoch: 70 [1280/5000 (25%)]	Loss: 0.030942
Task: 0 Train Epoch: 70 [2560/5000 (50%)]	Loss: 0.075100
Task: 0 Train Epoch: 70 [3840/5000 (75%)]	Loss: 0.056084

Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 815/1000(82%)

